Customer ID,TotalSpent,TotalOrders
12346,77556.46,34
12347,4921.53,222
12348,2019.4,51
12349,4428.69,175
12350,334.4,17
12351,300.93,21
12352,2849.84,103
12353,406.76,24
12354,1079.4,58
12355,947.61,35
12356,6371.73,142
12357,18287.66,296
12358,3887.07,77
12359,8873.39,362
12360,4252.89,217
12361,511.25,29
12362,5356.23,267
12363,552.0,23
12364,1313.1,85
12365,641.38,22
12366,500.24,3
12367,168.9,11
12368,917.6999999999999,18
12369,1791.15,93
12370,4316.56,201
12371,4067.38,167
12372,1298.04,52
12373,1127.65,51
12374,2989.2200000000003,83
12375,457.5,17
12376,503.15,13
12377,3426.32,152
12378,5416.32,301
12379,1620.22,81
12380,9676.300000000001,277
12381,1845.31,87
12383,1850.56,99
12384,585.27,27
12385,1938.4,65
12386,401.9,10
12387,143.94,9
12388,3901.11,146
12389,1433.33,49
12390,549.84,32
12391,2724.84,267
12392,234.75000000000003,7
12393,2399.4500000000003,107
12394,1272.48,27
12395,4721.17,242
12396,931.43,65
12397,2409.9,126
12398,1635.6599999999999,85
12399,1962.3,110
12400,205.25,11
12401,84.3,5
12402,1256.9,70
12403,1019.36,9
12404,63.24,1
12405,1710.39,54
12406,6390.36,166
12407,1708.1200000000001,77
12408,4340.7699999999995,159
12409,23419.29,264
12410,1013.71,40
12411,346.9,22
12412,2596.93,127
12413,999.45,51
12414,952.41,28
12415,144458.37,926
12416,202.56,11
12417,6797.41,369
12418,2021.2,102
12419,503.01,25
12420,600.39,29
12421,1098.6,65
12422,5231.8,172
12423,2622.39,165
12424,3340.03,92
12425,1741.41,91
12426,1345.21,77
12427,825.8,31
12428,7956.46,294
12429,6204.41,153
12430,256.4,11
12431,10432.22,390
12432,5059.32,108
12433,16794.14,559
12434,1103.43,70
12435,13925.93,112
12436,509.01,16
12437,12683.4,563
12438,2906.85,98
12439,1142.88,71
12440,859.2,32
12441,173.55,11
12442,172.06,12
12443,485.31,21
12444,5005.46,176
12445,434.98,24
12446,1002.3100000000001,57
12447,476.49,26
12448,449.45,22
12449,4835.89,201
12450,688.2,37
12451,12669.88,511
12452,430.57,22
12453,707.09,43
12454,16679.78,40
12455,5879.95,227
12456,3181.04,125
12457,2995.91,84
12458,1777.49,84
12459,454.36,23
12460,326.65,18
12461,826.88,35
12462,1189.59,62
12463,1344.78,83
12464,1212.05,29
12465,742.1899999999999,47
12466,56.73,1
12467,132.8,9
12468,3670.74,150
12469,3070.54,76
12470,211.95,23
12471,39918.19,1135
12472,16249.289999999999,841
12473,3928.0499999999997,167
12474,12372.75,708
12475,1149.64,61
12476,14083.91,514
12477,20276.37,564
12478,680.99,36
12479,527.2,31
12480,5464.85,242
12481,12185.51,380
12482,23691.4,204
12483,5097.18,138
12484,6354.1,471
12485,708.1,34
12486,1037.28,49
12487,285.29999999999995,2
12488,1298.66,55
12489,334.93,15
12490,9823.64,462
12491,460.40000000000003,26
12492,715.21,42
12493,433.74,22
12494,1815.27,108
12495,357.4,17
12496,45.34,10
12497,6248.5,57
12498,403.70000000000005,23
12499,393.72,27
12500,5955.21,146
12501,2169.39,149
12502,3723.87,147
12503,1126.0,2
12504,779.05,20
12505,955.2,42
12506,73.5,23
12507,1844.06,49
12508,397.88,68
12509,176.5,7
12510,5178.02,145
12511,3084.02,190
12512,132.18,31
12513,612.29,35
12514,1597.76,84
12515,383.7,16
12516,2648.62,74
12517,2481.6,279
12518,2056.89,124
12519,716.54,39
12520,2634.26,152
12521,599.68,38
12522,192.72,12
12523,4352.35,249
12524,11126.11,240
12525,973.73,60
12526,1316.66,71
12527,735.51,32
12528,1933.48,92
12529,316.48,21
12530,3759.26,158
12531,1933.2,127
12532,349.83000000000004,16
12533,1367.89,72
12534,1089.18,63
12535,716.35,34
12536,12601.830000000002,261
12537,732.94,43
12538,640.45,34
12539,11214.75,504
12540,22254.49,771
12541,981.18,52
12542,481.88,39
12543,980.25,43
12544,372.7,19
12545,1000.39,50
12546,1161.5,69
12547,383.58,21
12548,95.19999999999999,5
12549,1575.68,49
12550,964.83,57
12551,168.0,10
12552,437.82,20
12553,4608.75,238
12554,468.5,26
12555,129.23,1
12556,599.56,119
12557,18096.14,53
12558,269.96,11
12559,561.71,21
12560,2134.01,105
12561,238.85,16
12562,4966.92,207
12563,249.24,13
12564,456.9,21
12565,145.92,9
12566,351.65,19
12567,11767.48,556
12568,70.0,5
12569,4124.69,188
12570,77.52,1
12571,519.61,34
12572,1020.42,60
12573,717.41,119
12574,218.45,11
12575,622.8199999999999,38
12576,2142.72,142
12577,1617.1,298
12578,4642.45,172
12579,440.42,29
12580,1052.9,58
12581,197.71,15
12582,1980.4,103
12583,13591.58,446
12584,2338.15,96
12585,2040.1,87
12586,2062.67,94
12587,144.0,4
12588,958.78,46
12589,4695.66,180
12590,9864.26,68
12591,1338.95,68
12592,2582.66,81
12593,418.09999999999997,21
12594,5090.110000000001,199
12595,299.02,19
12596,618.27,27
12597,3811.22,206
12598,4534.09,206
12599,2296.72,133
12600,4967.42,130
12601,681.26,34
12602,153.12,12
12603,739.1999999999999,2
12604,254.18,16
12605,1232.95,76
12606,21.0,1
12607,1579.51,101
12608,415.79,16
12609,3435.86,175
12610,2099.54,106
12611,1193.32,65
12612,704.0400000000001,19
12613,6817.37,326
12614,315.6,20
12615,5740.98,270
12616,1131.1,54
12617,352.98,41
12618,177.31,11
12619,3781.38,100
12620,1339.41,92
12621,24311.2,756
12622,180.1,11
12623,3747.84,173
12624,641.13,38
12625,5164.88,183
12626,6620.48,294
12627,4478.53,230
12628,786.46,41
12629,1558.22,45
12630,1270.88,64
12631,3481.57,183
12632,804.88,35
12633,5678.16,306
12634,490.0,20
12635,2930.41,179
12636,141.0,1
12637,8283.81,614
12638,921.49,48
12639,1312.37,64
12640,1174.58,53
12641,185.9,10
12642,1013.26,47
12643,8304.82,51
12644,1918.49,111
12645,3539.3,160
12646,1346.97,45
12647,16955.55,515
12648,1112.0,65
12649,2294.65,118
12650,314.44,20
12651,377.75,30
12652,1017.03,51
12653,4160.83,86
12654,601.98,38
12655,261.35,16
12656,6407.83,247
12657,1643.18,47
12658,686.05,36
12659,91.68,5
12660,245.1,13
12661,162.0,11
12662,6726.54,391
12663,239.4,10
12664,6070.04,45
12665,313.6,17
12666,1248.42,31
12667,620.13,33
12668,11383.03,536
12669,2744.0299999999997,101
12670,3760.29,115
12671,2622.481,45
12672,437.05,22
12673,1230.02,74
12674,1970.6,83
12675,957.25,112
12676,2843.09,107
12677,395.1,21
12678,34281.18,376
12679,1113.02,48
12680,880.81,53
12681,29834.76,1424
12682,22950.22,989
12683,11633.7,487
12684,2283.63,105
12685,2863.08,157
12686,89.14,7
12687,2138.91,126
12688,4873.8099999999995,171
12689,1247.61,72
12690,389.01,16
12691,1170.4,39
12692,110.95,13
12693,1703.02,79
12694,1843.35,83
12695,1407.1200000000001,59
12696,851.91,49
12697,957.59,41
12698,339.75,16
12699,638.11,41
12700,4939.99,268
12701,2446.41,147
12702,219.0,12
12703,1006.53,74
12704,2340.84,88
12705,11762.1,599
12707,603.42,33
12708,5117.66,296
12709,30291.76,490
12710,1149.02,77
12711,1339.05,60
12712,6723.03,256
12713,848.55,38
12714,14093.71,696
12715,343.36,20
12716,1053.49,69
12717,1308.91,71
12718,238.25,19
12719,644.95,39
12720,7787.28,479
12721,4013.08,239
12722,997.63,53
12723,725.07,69
12724,2317.52,129
12725,2266.76,106
12726,4014.6,179
12727,5679.53,203
12728,1070.17,61
12729,453.01,26
12730,829.25,47
12731,25775.71,393
12732,236.26000000000002,12
12733,2424.87,157
12734,639.65,19
12735,779.5699999999999,43
12736,234.0,4
12737,3710.5,2
12738,155.35,11
12739,2726.73,89
12740,427.6,27
12741,406.07,16
12742,1201.52,67
12743,540.13,131
12744,25317.06,339
12745,925.41,23
12746,254.55,17
12747,8898.48,249
12748,53539.64,6585
12749,6897.36,338
12750,275.88,15
12751,268.27,62
12752,4366.78,53
12753,21429.39,197
12754,3010.74,63
12755,5236.259999999999,63
12756,112.07999999999998,4
12757,7834.650000000001,364
12758,9903.24,313
12759,5020.74,302
12760,347.8,21
12761,782.95,27
12762,1898.52,69
12763,494.08,18
12764,1693.88,45
12765,1404.58,68
12766,8918.99,402
12767,949.82,43
12768,168.69000000000003,10
12769,1143.6,32
12770,3246.45,28
12771,282.3,15
12772,892.47,55
12773,124.25,6
12774,98.7,6
12775,1686.12,81
12776,55.5,4
12777,519.45,26
12778,1775.68,114
12779,6474.11,269
12780,337.4,20
12781,826.74,25
12782,4618.24,227
12783,2225.91,84
12784,1763.15,129
12785,1100.4,56
12786,728.5,18
12787,862.18,44
12788,444.9,26
12789,273.35,8
12790,591.85,37
12791,863.51,28
12792,827.01,47
12793,885.53,44
12794,860.41,45
12795,430.48,14
12796,381.0,7
12797,552.08,30
12798,8510.93,33
12799,219.35,15
12800,584.25,34
12801,1071.82,50
12802,2416.42,138
12803,1092.81,55
12804,325.37,66
12805,1434.95,58
12806,2878.96,67
12807,330.35,16
12808,776.7,47
12809,1755.94,81
12810,534.99,32
12811,1033.9,56
12812,229.64000000000001,15
12813,1687.8,45
12814,125.92,2
12815,1063.46,47
12816,572.2,29
12817,690.98,25
12818,1542.08,14
12819,540.52,19
12820,2689.52,159
12821,220.8,13
12822,948.88,46
12823,6501.5,18
12824,397.12,25
12825,518.63,24
12826,2800.75,157
12827,430.15000000000003,25
12828,1018.71,56
12829,385.3,19
12830,6814.64,38
12831,451.11,22
12832,383.03,27
12833,417.38,24
12834,312.38,18
12835,5996.83,615
12836,6559.7300000000005,411
12837,662.66,88
12838,2975.91,356
12839,9669.12,554
12840,4041.97,176
12841,6958.2,644
12842,1917.99,48
12843,6583.36,219
12844,648.6,103
12845,354.09,27
12846,15.58,1
12847,1609.0,119
12848,208.0,16
12849,3042.47,144
12850,330.0,2
12851,280.76,77
12852,311.55,17
12853,3907.5,148
12854,2970.9700000000003,261
12855,612.84,67
12856,2170.78,311
12857,3688.0,121
12858,147.27,37
12859,575.1,21
12860,54.22,16
12861,68.25,4
12862,984.62,131
12863,2792.5499999999997,48
12864,299.57,7
12865,3323.47,195
12866,1227.35,63
12867,7829.26,1050
12868,2043.76,134
12869,337.66999999999996,37
12870,1676.95,93
12871,744.02,18
12872,3283.96,394
12873,2027.3,35
12874,948.42,48
12875,1356.99,8
12876,4081.79,170
12877,2942.14,274
12878,854.99,47
12879,573.22,10
12880,640.13,36
12881,298.0,7
12882,1463.04,13
12883,703.47,42
12884,309.05,7
12885,1175.22,71
12886,1378.4,82
12887,222.4,13
12888,354.12,5
12889,385.46000000000004,25
12890,706.02,135
12891,840.5,11
12892,263.38,18
12893,176.55,31
12894,157.35,21
12895,372.8,22
12897,514.25,14
12898,296.21000000000004,27
12899,366.4,17
12900,340.33,13
12901,17654.54,116
12902,138.68,10
12903,833.53,41
12904,496.06,71
12905,1018.42,54
12906,2919.81,63
12907,508.91,25
12908,1776.0,5
12909,3103.19,158
12910,5796.52,137
12911,1651.72,236
12912,1662.3,24
12913,6283.24,92
12914,223.98,9
12915,975.1,60
12916,4479.73,172
12917,4359.2,50
12918,10953.5,1
12919,1335.19,50
12920,486.64,59
12921,35233.24,1499
12922,405.38,28
12923,770.42,60
12924,2469.4,74
12925,729.3299999999999,50
12926,1523.97,262
12927,197.31,11
12928,4304.89,179
12929,117.85,8
12930,415.8,25
12931,92347.34,218
12932,1698.56,95
12933,1636.6299999999999,289
12934,181.65,2
12935,4243.86,254
12936,1063.9,62
12937,3097.61,217
12938,114.14,9
12939,25264.8,86
12940,899.69,96
12941,377.49,27
12942,675.6,70
12943,496.5,25
12944,604.51,30
12945,900.11,51
12946,324.45,20
12947,1603.99,97
12948,2317.43,125
12949,15526.7,715
12950,1843.0,23
12951,3213.7200000000003,194
12952,1387.79,79
12953,828.8100000000001,48
12954,162.45,10
12955,4757.16,180
12956,521.89,42
12957,8706.97,490
12958,467.34,49
12959,150.95,8
12960,1322.07,70
12961,211.99,40
12962,266.39,16
12963,3235.79,174
12964,132.24,26
12965,769.8100000000001,108
12966,160.18,10
12967,2938.52,65
12968,135.95,5
12969,122.45,5
12970,1453.6,345
12971,15704.6,407
12972,1161.2,77
12973,385.55,6
12974,408.95,32
12975,2100.09,112
12976,3156.38,154
12977,513.88,58
12978,2502.82,163
12979,517.7,56
12980,16245.78,52
12981,372.21999999999997,20
12982,2744.81,178
12983,490.08000000000004,30
12984,97.5,4
12985,1239.38,76
12986,2729.84,102
12987,1312.21,66
12988,505.82,83
12989,13551.75,97
12990,955.5,27
12991,764.82,45
12992,93.35000000000001,6
12993,1259.6299999999999,76
12994,974.4200000000001,61
12995,211.32,3
12996,355.5,22
12997,2110.91,107
12998,920.08,58
12999,455.88,28
13000,1032.5,62
13001,24042.65,1015
13002,414.13,23
13003,149.05,6
13004,11650.85,815
13005,999.68,56
13006,81.57,4
13007,175.25,11
13008,612.13,35
13009,234.0,4
13010,330.12,12
13011,50.550000000000004,3
13012,2957.83,153
13013,11097.43,487
13014,5381.08,224
13015,6579.78,348
13016,789.89,47
13017,204.0,1
13018,9763.16,603
13019,1229.95,55
13020,618.96,39
13021,4887.24,257
13022,65.3,5
13023,1449.03,76
13024,555.87,31
13025,323.39,13
13026,1733.08,82
13027,17239.2,85
13028,661.3199999999999,45
13029,1927.3,17
13030,752.4399999999999,92
